Date,Open,High,Low,Close,Volume
10/07/2025,"248.27","250.44","245.52","245.76","23,181,289"
10/06/2025,"244.78","251.32","244.58","250.43","28,894,650"
10/03/2025,"244.49","246.30","241.66","245.35","30,249,561"
10/02/2025,"245.15","246.81","242.30","245.69","25,483,301"
10/01/2025,"240.75","246.30","238.61","244.90","31,658,230"
09/30/2025,"242.81","243.29","239.25","243.10","34,724,352"
09/29/2025,"247.85","251.15","242.77","244.05","32,505,779"
09/26/2025,"247.07","249.42","245.97","246.54","18,503,189"
09/25/2025,"244.40","246.49","240.74","245.79","31,020,381"
09/24/2025,"251.66","252.35","246.44","247.14","28,201,000"
09/23/2025,"253.04","254.36","250.48","251.66","26,628,020"
09/22/2025,"254.43","255.78","250.30","252.53","32,290,539"
09/19/2025,"253.25","256.00","251.81","254.72","55,571,422"
09/18/2025,"251.68","253.99","249.80","252.03","31,239,471"
09/17/2025,"251.22","251.60","246.28","249.53","34,107,992"
09/16/2025,"252.08","253.04","249.47","251.16","34,109,719"
09/15/2025,"244.66","252.41","244.66","251.61","58,383,801"
09/12/2025,"240.37","242.08","238.00","240.80","26,771,609"
09/11/2025,"239.88","242.25","236.25","240.37","30,599,330"
09/10/2025,"238.90","241.66","237.85","239.17","35,141,070"
09/09/2025,"234.17","240.47","233.23","239.63","38,060,961"
09/08/2025,"235.47","238.13","233.67","234.04","32,474,740"
09/05/2025,"232.20","235.76","231.90","235.00","46,588,930"
09/04/2025,"229.65","232.37","226.11","232.30","51,684,168"
09/03/2025,"226.21","231.31","224.79","230.66","103,336,094"
09/02/2025,"208.44","211.68","206.20","211.35","47,523,039"
08/29/2025,"210.51","214.65","210.20","212.91","39,728,359"
08/28/2025,"207.25","212.22","206.90","211.64","32,339,311"
08/27/2025,"205.70","208.91","205.65","207.48","23,022,850"
08/26/2025,"207.51","207.85","205.70","207.14","28,464,131"
08/25/2025,"206.43","210.52","205.28","208.49","29,928,881"
08/22/2025,"202.73","208.54","201.30","206.09","42,827,039"
08/21/2025,"199.75","202.48","199.43","199.75","19,774,631"
08/20/2025,"200.73","201.28","196.60","199.32","28,955,500"
08/19/2025,"203.03","203.44","199.96","201.57","24,240,230"
08/18/2025,"204.20","205.27","202.49","203.50","18,526,590"
08/15/2025,"203.85","206.44","201.28","203.90","34,931,422"
08/14/2025,"201.50","204.44","201.23","202.94","25,230,430"
08/13/2025,"204.13","204.53","197.51","201.96","28,342,920"
08/12/2025,"201.37","204.50","200.59","203.34","30,424,449"
08/11/2025,"200.94","201.48","199.07","201.00","25,832,439"
08/08/2025,"197.22","202.61","197.17","201.42","39,161,832"
08/07/2025,"197.06","197.54","194.33","196.52","26,321,811"
08/06/2025,"194.50","196.63","193.67","196.09","21,562,910"
08/05/2025,"194.71","197.86","193.89","194.67","31,602,340"
08/04/2025,"190.29","195.27","190.12","195.04","31,547,350"
08/01/2025,"189.03","190.83","187.82","189.13","34,832,180"
07/31/2025,"195.71","195.99","191.09","191.90","51,329,160"
07/30/2025,"195.60","197.60","194.69","196.53","32,445,410"
07/29/2025,"192.43","195.92","192.08","195.75","41,389,152"
07/28/2025,"193.65","194.05","190.84","192.58","38,139,500"
07/25/2025,"191.98","194.33","191.26","193.18","39,785,859"
07/24/2025,"197.03","197.95","191.00","192.17","74,881,688"
07/23/2025,"191.50","192.53","189.18","190.23","58,681,953"
07/22/2025,"191.50","191.65","187.46","191.34","44,660,219"
07/21/2025,"186.25","190.29","186.15","190.10","45,803,129"
07/18/2025,"185.40","186.42","183.71","185.06","34,014,512"
07/17/2025,"182.14","184.06","180.48","183.58","31,992,570"
07/16/2025,"183.24","184.33","182.03","182.97","33,104,191"
07/15/2025,"182.81","184.22","181.60","182.00","33,448,250"
07/14/2025,"181.01","183.67","179.68","181.56","32,536,631"
07/11/2025,"176.79","181.43","176.48","180.19","34,282,922"
07/10/2025,"175.63","178.43","174.38","177.62","29,252,391"
07/09/2025,"175.25","179.44","172.77","176.62","43,025,594"
07/08/2025,"177.85","177.95","172.81","174.36","40,442,539"
07/07/2025,"179.06","179.30","175.68","176.79","34,175,648"
07/03/2025,"178.50","179.67","177.05","179.53","21,689,730"
07/02/2025,"175.54","178.86","175.07","178.64","29,128,949"
07/01/2025,"175.74","176.09","173.53","175.84","35,904,527"
06/30/2025,"180.78","181.23","174.58","176.23","63,378,859"
06/27/2025,"173.54","178.68","171.73","178.53","108,140,203"
06/26/2025,"172.43","173.69","169.94","173.54","31,796,689"
06/25/2025,"167.63","172.36","167.55","170.68","35,478,992"
06/24/2025,"166.92","168.22","166.13","166.77","40,524,312"
06/23/2025,"166.27","167.34","162.00","165.19","57,670,992"
06/20/2025,"173.95","174.34","165.46","166.64","75,659,922"
06/18/2025,"176.01","176.56","173.20","173.32","28,707,520"
06/17/2025,"175.70","177.36","174.58","175.95","24,973,039"
06/16/2025,"174.73","176.94","174.65","176.77","27,389,211"
06/13/2025,"172.44","177.13","172.39","174.67","27,663,109"
06/12/2025,"176.18","176.72","174.75","175.70","20,941,869"
06/11/2025,"179.77","180.37","176.75","177.35","31,646,760"
06/10/2025,"176.20","181.11","174.91","178.60","61,766,121"
06/09/2025,"174.54","176.47","174.37","176.09","28,935,910"
06/06/2025,"170.83","174.50","170.83","173.68","35,731,832"
06/05/2025,"170.34","170.93","167.59","168.21","36,444,559"
06/04/2025,"166.74","168.22","166.36","168.05","26,900,840"
06/03/2025,"167.49","168.48","165.28","166.18","45,084,898"
06/02/2025,"167.84","169.87","167.39","169.03","38,612,273"
05/30/2025,"171.35","172.21","167.44","171.74","52,639,910"
05/29/2025,"174.00","174.42","170.63","171.86","29,373,801"
05/28/2025,"173.16","175.27","171.91","172.36","34,784,000"
05/27/2025,"170.16","173.17","170.00","172.90","37,995,672"
05/23/2025,"169.06","169.96","167.89","168.47","35,211,441"
05/22/2025,"171.85","176.77","170.71","170.87","74,864,414"
05/21/2025,"163.69","173.14","163.56","168.56","73,415,961"
05/20/2025,"166.43","168.50","162.90","163.98","46,607,660"
05/19/2025,"164.51","166.64","164.22","166.54","30,426,100"
05/16/2025,"167.73","169.35","165.62","166.19","42,846,930"
05/15/2025,"165.84","166.21","162.37","163.96","33,146,672"
05/14/2025,"159.96","167.00","159.61","165.37","48,755,871"
05/13/2025,"158.79","160.57","156.16","159.53","42,382,129"
05/12/2025,"157.49","159.10","156.25","158.46","44,138,820"
05/09/2025,"154.17","155.05","152.20","152.75","32,435,279"
05/08/2025,"155.00","155.93","152.90","154.28","57,498,688"
05/07/2025,"164.08","165.00","147.84","151.38","127,747,602"
05/06/2025,"162.17","164.80","161.19","163.23","21,277,211"
05/05/2025,"163.00","165.39","162.72","164.21","21,341,811"
05/02/2025,"163.41","164.97","161.87","164.03","25,715,010"
05/01/2025,"160.45","161.95","158.91","161.30","30,203,250"
04/30/2025,"157.98","159.27","155.40","158.80","34,981,059"
04/29/2025,"160.33","160.74","157.52","160.16","26,808,961"
04/28/2025,"162.43","163.15","158.60","160.61","29,745,779"
04/25/2025,"165.07","166.10","161.04","161.96","56,034,000"
04/24/2025,"156.15","159.59","155.79","159.28","45,893,953"
04/23/2025,"155.61","157.53","153.81","155.35","31,128,830"
04/22/2025,"148.89","152.19","148.54","151.47","26,971,770"
04/21/2025,"148.88","148.95","146.10","147.67","26,049,119"
04/17/2025,"154.29","154.68","148.50","151.16","33,046,578"
04/16/2025,"153.10","155.89","151.51","153.33","28,187,420"
04/15/2025,"159.13","159.65","155.21","156.31","27,551,529"
04/14/2025,"160.00","161.72","157.56","159.07","30,332,961"
04/11/2025,"152.90","157.67","152.82","157.14","33,636,238"
04/10/2025,"156.54","157.72","149.93","152.82","48,021,969"
04/09/2025,"144.42","159.55","143.91","158.71","70,406,234"
04/08/2025,"151.22","152.24","143.03","144.70","52,200,207"
04/07/2025,"141.55","152.85","140.53","146.75","76,794,141"
04/04/2025,"148.01","151.07","145.38","145.60","62,259,539"
04/03/2025,"151.11","152.78","150.39","150.72","46,883,367"
04/02/2025,"155.15","158.41","154.70","157.04","25,041,730"
04/01/2025,"153.62","158.10","153.62","157.07","30,672,900"
03/31/2025,"153.11","155.54","150.66","154.64","54,603,461"
03/28/2025,"160.49","161.82","153.63","154.33","48,669,340"
03/27/2025,"164.63","165.42","162.00","162.24","24,508,270"
03/26/2025,"169.00","169.61","164.84","165.06","28,939,330"
03/25/2025,"168.98","170.63","168.32","170.56","24,174,369"
03/24/2025,"167.07","168.32","165.14","167.68","30,879,131"
03/21/2025,"161.21","164.24","160.89","163.99","36,625,762"
03/20/2025,"161.57","164.89","160.96","162.80","28,138,461"
03/19/2025,"161.76","165.87","161.00","163.89","34,275,578"
